"wasteshed","material","LCstage","disposition","tons"
"Baker","Cardboard/Kraft","endOfLife","combustion",0
"Baker","Cardboard/Kraft","endOfLife","landfilling",434.974529366144
"Baker","Cardboard/Kraft","endOfLife","recycling",895.064
"Baker","Cardboard/Kraft","endOfLifeTransport","combustion",0
"Baker","Cardboard/Kraft","endOfLifeTransport","landfilling",434.974529366144
"Baker","Cardboard/Kraft","endOfLifeTransport","recycling",895.064
"Baker","Carpeting-used","endOfLife","combustion",0
"Baker","Carpeting-used","endOfLife","landfilling",297.716792783918
"Baker","Carpeting-used","endOfLife","recycling",0
"Baker","Carpeting-used","endOfLifeTransport","combustion",0
"Baker","Carpeting-used","endOfLifeTransport","landfilling",297.716792783918
"Baker","Carpeting-used","endOfLifeTransport","recycling",0
"Baker","Electronics","endOfLife","landfilling",103.863097141256
"Baker","Electronics","endOfLife","recycling",96.954
"Baker","Electronics","endOfLifeTransport","landfilling",103.863097141256
"Baker","Electronics","endOfLifeTransport","recycling",96.954
"Baker","FoodWaste","endOfLife","anaerobicDigestion",0
"Baker","FoodWaste","endOfLife","composting",0.585
"Baker","FoodWaste","endOfLife","landfilling",1854.23309175329
"Baker","FoodWaste","endOfLifeTransport","anaerobicDigestion",0
"Baker","FoodWaste","endOfLifeTransport","composting",0.585
"Baker","FoodWaste","endOfLifeTransport","landfilling",1854.23309175329
"Baker","Glass Containers","endOfLife","landfilling",140.58706094437
"Baker","Glass Containers","endOfLife","recycling",334.239
"Baker","Glass Containers","endOfLife","useAsAggregate",0
"Baker","Glass Containers","endOfLifeTransport","landfilling",140.58706094437
"Baker","Glass Containers","endOfLifeTransport","recycling",334.239
"Baker","Glass Containers","endOfLifeTransport","useAsAggregate",0
"Baker","Nonrecyclables","endOfLife","combustion",0
"Baker","Nonrecyclables","endOfLife","landfilling",2094.95317963785
"Baker","Nonrecyclables","endOfLifeTransport","combustion",0
"Baker","Nonrecyclables","endOfLifeTransport","landfilling",2094.95317963785
"Baker","Paper Fiber","endOfLife","combustion",0
"Baker","Paper Fiber","endOfLife","landfilling",1501.8634851461
"Baker","Paper Fiber","endOfLife","recycling",262.51
"Baker","Paper Fiber","endOfLifeTransport","combustion",0
"Baker","Paper Fiber","endOfLifeTransport","landfilling",1501.8634851461
"Baker","Paper Fiber","endOfLifeTransport","recycling",262.51
"Baker","Plastic Film","endOfLife","combustion",0
"Baker","Plastic Film","endOfLife","landfilling",656.34822365803
"Baker","Plastic Film","endOfLife","recycling",27.925
"Baker","Plastic Film","endOfLifeTransport","combustion",0
"Baker","Plastic Film","endOfLifeTransport","landfilling",656.34822365803
"Baker","Plastic Film","endOfLifeTransport","recycling",27.925
"Baker","Rigid Plastic Cont.","endOfLife","combustion",0
"Baker","Rigid Plastic Cont.","endOfLife","landfilling",233.070363264846
"Baker","Rigid Plastic Cont.","endOfLife","recycling",61.216
"Baker","Rigid Plastic Cont.","endOfLifeTransport","combustion",0
"Baker","Rigid Plastic Cont.","endOfLifeTransport","landfilling",233.070363264846
"Baker","Rigid Plastic Cont.","endOfLifeTransport","recycling",61.216
"Baker","Scrap Metal - Other","endOfLife","landfilling",415.192317638552
"Baker","Scrap Metal - Other","endOfLife","recycling",206.908
"Baker","Scrap Metal - Other","endOfLifeTransport","landfilling",415.192317638552
"Baker","Scrap Metal - Other","endOfLifeTransport","recycling",206.908
"Baker","Wood Waste","endOfLife","combustion",46.1
"Baker","Wood Waste","endOfLife","composting",0
"Baker","Wood Waste","endOfLife","landfilling",1901.55768734646
"Baker","Wood Waste","endOfLife","recycling",0
"Baker","Wood Waste","endOfLifeTransport","combustion",46.1
"Baker","Wood Waste","endOfLifeTransport","composting",0
"Baker","Wood Waste","endOfLifeTransport","landfilling",1901.55768734646
"Baker","Wood Waste","endOfLifeTransport","recycling",0
"Baker","Yard Debris","endOfLife","anaerobicDigestion",0
"Baker","Yard Debris","endOfLife","combustion",0
"Baker","Yard Debris","endOfLife","composting",785.87
"Baker","Yard Debris","endOfLife","landfilling",393.566702405902
"Baker","Yard Debris","endOfLifeTransport","anaerobicDigestion",0
"Baker","Yard Debris","endOfLifeTransport","combustion",0
"Baker","Yard Debris","endOfLifeTransport","composting",785.87
"Baker","Yard Debris","endOfLifeTransport","landfilling",393.566702405902
"Benton","Cardboard/Kraft","endOfLife","combustion",0
"Benton","Cardboard/Kraft","endOfLife","landfilling",2169.25207933336
"Benton","Cardboard/Kraft","endOfLife","recycling",6616.65
"Benton","Cardboard/Kraft","endOfLifeTransport","combustion",0
"Benton","Cardboard/Kraft","endOfLifeTransport","landfilling",2169.25207933336
"Benton","Cardboard/Kraft","endOfLifeTransport","recycling",6616.65
"Benton","Carpeting-used","endOfLife","combustion",0
"Benton","Carpeting-used","endOfLife","landfilling",1484.73698618648
"Benton","Carpeting-used","endOfLife","recycling",0
"Benton","Carpeting-used","endOfLifeTransport","combustion",0
"Benton","Carpeting-used","endOfLifeTransport","landfilling",1484.73698618648
"Benton","Carpeting-used","endOfLifeTransport","recycling",0
"Benton","Electronics","endOfLife","landfilling",517.973408162524
"Benton","Electronics","endOfLife","recycling",357.222
"Benton","Electronics","endOfLifeTransport","landfilling",517.973408162524
"Benton","Electronics","endOfLifeTransport","recycling",357.222
"Benton","FoodWaste","endOfLife","anaerobicDigestion",0
"Benton","FoodWaste","endOfLife","composting",638.099
"Benton","FoodWaste","endOfLife","landfilling",9247.2057978106
"Benton","FoodWaste","endOfLifeTransport","anaerobicDigestion",0
"Benton","FoodWaste","endOfLifeTransport","composting",638.099
"Benton","FoodWaste","endOfLifeTransport","landfilling",9247.2057978106
"Benton","Glass Containers","endOfLife","landfilling",701.11869475518
"Benton","Glass Containers","endOfLife","recycling",1764.12
"Benton","Glass Containers","endOfLife","useAsAggregate",0
"Benton","Glass Containers","endOfLifeTransport","landfilling",701.11869475518
"Benton","Glass Containers","endOfLifeTransport","recycling",1764.12
"Benton","Glass Containers","endOfLifeTransport","useAsAggregate",0
"Benton","Nonrecyclables","endOfLife","combustion",0
"Benton","Nonrecyclables","endOfLife","landfilling",10447.6957482034
"Benton","Nonrecyclables","endOfLifeTransport","combustion",0
"Benton","Nonrecyclables","endOfLifeTransport","landfilling",10447.6957482034
"Benton","Paper Fiber","endOfLife","combustion",0
"Benton","Paper Fiber","endOfLife","landfilling",7489.91094438459
"Benton","Paper Fiber","endOfLife","recycling",4396.202
"Benton","Paper Fiber","endOfLifeTransport","combustion",0
"Benton","Paper Fiber","endOfLifeTransport","landfilling",7489.91094438459
"Benton","Paper Fiber","endOfLifeTransport","recycling",4396.202
"Benton","Plastic Film","endOfLife","combustion",0
"Benton","Plastic Film","endOfLife","landfilling",3273.26004814974
"Benton","Plastic Film","endOfLife","recycling",276.052
"Benton","Plastic Film","endOfLifeTransport","combustion",0
"Benton","Plastic Film","endOfLifeTransport","landfilling",3273.26004814974
"Benton","Plastic Film","endOfLifeTransport","recycling",276.052
"Benton","Rigid Plastic Cont.","endOfLife","combustion",0
"Benton","Rigid Plastic Cont.","endOfLife","landfilling",1162.34017398675
"Benton","Rigid Plastic Cont.","endOfLife","recycling",536.651
"Benton","Rigid Plastic Cont.","endOfLifeTransport","combustion",0
"Benton","Rigid Plastic Cont.","endOfLifeTransport","landfilling",1162.34017398675
"Benton","Rigid Plastic Cont.","endOfLifeTransport","recycling",536.651
"Benton","Scrap Metal - Other","endOfLife","landfilling",2070.59663855059
"Benton","Scrap Metal - Other","endOfLife","recycling",3183.25
"Benton","Scrap Metal - Other","endOfLifeTransport","landfilling",2070.59663855059
"Benton","Scrap Metal - Other","endOfLifeTransport","recycling",3183.25
"Benton","Wood Waste","endOfLife","combustion",416.65
"Benton","Wood Waste","endOfLife","composting",84.889
"Benton","Wood Waste","endOfLife","landfilling",9483.21726621473
"Benton","Wood Waste","endOfLife","recycling",0
"Benton","Wood Waste","endOfLifeTransport","combustion",416.65
"Benton","Wood Waste","endOfLifeTransport","composting",84.889
"Benton","Wood Waste","endOfLifeTransport","landfilling",9483.21726621473
"Benton","Wood Waste","endOfLifeTransport","recycling",0
"Benton","Yard Debris","endOfLife","anaerobicDigestion",0
"Benton","Yard Debris","endOfLife","combustion",0
"Benton","Yard Debris","endOfLife","composting",13569.151
"Benton","Yard Debris","endOfLife","landfilling",1962.74799996789
"Benton","Yard Debris","endOfLifeTransport","anaerobicDigestion",0
"Benton","Yard Debris","endOfLifeTransport","combustion",0
"Benton","Yard Debris","endOfLifeTransport","composting",13569.151
"Benton","Yard Debris","endOfLifeTransport","landfilling",1962.74799996789
"Clatsop","Cardboard/Kraft","endOfLife","combustion",0
"Clatsop","Cardboard/Kraft","endOfLife","landfilling",1192.26032185344
"Clatsop","Cardboard/Kraft","endOfLife","recycling",4100.159
"Clatsop","Cardboard/Kraft","endOfLifeTransport","combustion",0
"Clatsop","Cardboard/Kraft","endOfLifeTransport","landfilling",1192.26032185344
"Clatsop","Cardboard/Kraft","endOfLifeTransport","recycling",4100.159
"Clatsop","Carpeting-used","endOfLife","combustion",0
"Clatsop","Carpeting-used","endOfLife","landfilling",816.038400462157
"Clatsop","Carpeting-used","endOfLife","recycling",0
"Clatsop","Carpeting-used","endOfLifeTransport","combustion",0
"Clatsop","Carpeting-used","endOfLifeTransport","landfilling",816.038400462157
"Clatsop","Carpeting-used","endOfLifeTransport","recycling",0
"Clatsop","Electronics","endOfLife","landfilling",284.687588045166
"Clatsop","Electronics","endOfLife","recycling",99.772
"Clatsop","Electronics","endOfLifeTransport","landfilling",284.687588045166
"Clatsop","Electronics","endOfLifeTransport","recycling",99.772
"Clatsop","FoodWaste","endOfLife","anaerobicDigestion",0
"Clatsop","FoodWaste","endOfLife","composting",1.144
"Clatsop","FoodWaste","endOfLife","landfilling",5082.43217364153
"Clatsop","FoodWaste","endOfLifeTransport","anaerobicDigestion",0
"Clatsop","FoodWaste","endOfLifeTransport","composting",1.144
"Clatsop","FoodWaste","endOfLifeTransport","landfilling",5082.43217364153
"Clatsop","Glass Containers","endOfLife","landfilling",385.347562245123
"Clatsop","Glass Containers","endOfLife","recycling",1278.83
"Clatsop","Glass Containers","endOfLife","useAsAggregate",0
"Clatsop","Glass Containers","endOfLifeTransport","landfilling",385.347562245123
"Clatsop","Glass Containers","endOfLifeTransport","recycling",1278.83
"Clatsop","Glass Containers","endOfLifeTransport","useAsAggregate",0
"Clatsop","Nonrecyclables","endOfLife","combustion",0
"Clatsop","Nonrecyclables","endOfLife","landfilling",5742.24324321395
"Clatsop","Nonrecyclables","endOfLifeTransport","combustion",0
"Clatsop","Nonrecyclables","endOfLifeTransport","landfilling",5742.24324321395
"Clatsop","Paper Fiber","endOfLife","combustion",0
"Clatsop","Paper Fiber","endOfLife","landfilling",4116.59102152381
"Clatsop","Paper Fiber","endOfLife","recycling",1767.064
"Clatsop","Paper Fiber","endOfLifeTransport","combustion",0
"Clatsop","Paper Fiber","endOfLifeTransport","landfilling",4116.59102152381
"Clatsop","Paper Fiber","endOfLifeTransport","recycling",1767.064
"Clatsop","Plastic Film","endOfLife","combustion",0
"Clatsop","Plastic Film","endOfLife","landfilling",1799.04314288653
"Clatsop","Plastic Film","endOfLife","recycling",194.775
"Clatsop","Plastic Film","endOfLifeTransport","combustion",0
"Clatsop","Plastic Film","endOfLifeTransport","landfilling",1799.04314288653
"Clatsop","Plastic Film","endOfLifeTransport","recycling",194.775
"Clatsop","Rigid Plastic Cont.","endOfLife","combustion",0
"Clatsop","Rigid Plastic Cont.","endOfLife","landfilling",638.84325991588
"Clatsop","Rigid Plastic Cont.","endOfLife","recycling",178.374
"Clatsop","Rigid Plastic Cont.","endOfLifeTransport","combustion",0
"Clatsop","Rigid Plastic Cont.","endOfLifeTransport","landfilling",638.84325991588
"Clatsop","Rigid Plastic Cont.","endOfLifeTransport","recycling",178.374
"Clatsop","Scrap Metal - Other","endOfLife","landfilling",1138.03750067887
"Clatsop","Scrap Metal - Other","endOfLife","recycling",2904.996
"Clatsop","Scrap Metal - Other","endOfLifeTransport","landfilling",1138.03750067887
"Clatsop","Scrap Metal - Other","endOfLifeTransport","recycling",2904.996
"Clatsop","Wood Waste","endOfLife","combustion",3947.394
"Clatsop","Wood Waste","endOfLife","composting",1.692
"Clatsop","Wood Waste","endOfLife","landfilling",5212.14836105996
"Clatsop","Wood Waste","endOfLife","recycling",0
"Clatsop","Wood Waste","endOfLifeTransport","combustion",3947.394
"Clatsop","Wood Waste","endOfLifeTransport","composting",1.692
"Clatsop","Wood Waste","endOfLifeTransport","landfilling",5212.14836105996
"Clatsop","Wood Waste","endOfLifeTransport","recycling",0
"Clatsop","Yard Debris","endOfLife","anaerobicDigestion",0
"Clatsop","Yard Debris","endOfLife","combustion",3855.977
"Clatsop","Yard Debris","endOfLife","composting",522
"Clatsop","Yard Debris","endOfLife","landfilling",1078.76193110672
"Clatsop","Yard Debris","endOfLifeTransport","anaerobicDigestion",0
"Clatsop","Yard Debris","endOfLifeTransport","combustion",3855.977
"Clatsop","Yard Debris","endOfLifeTransport","composting",522
"Clatsop","Yard Debris","endOfLifeTransport","landfilling",1078.76193110672
"Coos","Cardboard/Kraft","endOfLife","combustion",0
"Coos","Cardboard/Kraft","endOfLife","landfilling",1590.03909496679
"Coos","Cardboard/Kraft","endOfLife","recycling",3751.415
"Coos","Cardboard/Kraft","endOfLifeTransport","combustion",0
"Coos","Cardboard/Kraft","endOfLifeTransport","landfilling",1590.03909496679
"Coos","Cardboard/Kraft","endOfLifeTransport","recycling",3751.415
"Coos","Carpeting-used","endOfLife","combustion",0
"Coos","Carpeting-used","endOfLife","landfilling",1088.29668818627
"Coos","Carpeting-used","endOfLife","recycling",0
"Coos","Carpeting-used","endOfLifeTransport","combustion",0
"Coos","Carpeting-used","endOfLifeTransport","landfilling",1088.29668818627
"Coos","Carpeting-used","endOfLifeTransport","recycling",0
