,impactCategory,impactCategory_definition,impactCategory_unit,impactCategory_abbreviation,impactCategory_reference,impactCategory_source
1,Acidification,"A measure of emissions that cause acidifying effects to the environment. The acidification potential is a measure of a molecule’s capacity to increase the hydrogen ion (H+) concentration in the presence of water, thus decreasing the pH value. Potential effects include fish mortality, forest decline and the deterioration of building materials.",kg SO2 equivalent,AP,"Bare, J. (2012) TRACI 2.1: the tool for the reduction and assessment of chemical and other environmental impacts 2.1",TRACI 2.1
2,Blue water consumption,"Blue water refers to surface and ground water only (excluding rain water, green water). Rain water is typically excluded from the assessment of freshwater consumption and this category focuses on blue water consumption only, as this is the relevant part which can be assessed with current impact assessment methods.    Water consumption is typically defined as ""water removed from, but not returned to the same drainage basin. Water consumption can be because of evaporation, transpiration, product integration or release into a different drainage basin or the sea. Evaporation from reservoirs is considered water consumption.""  In GaBi, this is calculated by  total blue water use (water input) – total blue water release back to watershed (degradative water outputs). 
",kg,-,"Pieper M, Kupfer T, Thylmann D, Bos U (2018) Introduction to Water Assessment in GaBi. February 2018 V2.2",thinkstep
3,Blue water use,"Blue water use refers to the water use (inputs only) from surface and ground water only.  Water use generally is defined as the ""use of water by human activity. Use includes, but is not limited to, any water withdrawal within the drainage basin impacting water flows and quality"".  The water input flows in GaBi refer to total water use. To quantify total freshwater use, all freshwater input flows are summed up.",kg,-,"Pieper M, Kupfer T, Thylmann D, Bos U (2018) Introduction to Water Assessment in GaBi. February 2018 V2.2",thinkstep
4,Ecotoxicity (recommended and interim),A measure of toxic emissions that are directly harmful to the health of non-human species. The final unit is comparative toxic units (CTUe).  The interim factors are estimated with a higher degree of uncertainty than the recommended and should be used with caution. If interim factors are dominating the result of a Life Cycle Assessment a sensitivity analysis should be carried out.  This specific category includes both the recommend and interm characterization factors from the USEtox methdology related to carcenogenic toxic emissions.,CTUe,ETP,"Rosenbaum RK, Bachmann TK, Gold LS, Huijbregts MAJ, Jolliet O, Juraske R, Koehler A, Larsen HF, MacLeod M, Margni M, McKone TE, Payet J, Schuhmacher M, Van de Meent D and Hauschild MZ (2008), USEtox - The UNEP/SETAC-consensus model: recommended characterisation factors for human toxicity and freshwater ecotoxicity in Life Cycle Impact Assessment. International Journal of Life Cycle Assessment 13(7): 532-546. ",USEtox 2.0
5,Ecotoxicity (recommended only),A measure of toxic emissions that are directly harmful to the health of non-human species. The final unit is comparative toxic units (CTUe).  The interim factors are estimated with a higher degree of uncertainty than the recommended and should be used with caution. If interim factors are dominating the result of a Life Cycle Assessment a sensitivity analysis should be carried out.  This specific category includes only the recommend characterization factors from the USEtox methdology related to toxic emissions.,CTUe,ETP,"Rosenbaum RK, Bachmann TK, Gold LS, Huijbregts MAJ, Jolliet O, Juraske R, Koehler A, Larsen HF, MacLeod M, Margni M, McKone TE, Payet J, Schuhmacher M, Van de Meent D and Hauschild MZ (2008), USEtox - The UNEP/SETAC-consensus model: recommended characterisation factors for human toxicity and freshwater ecotoxicity in Life Cycle Impact Assessment. International Journal of Life Cycle Assessment 13(7): 532-546. ",USEtox 2.0
6,Ecotoxicity (recommended),"A measure of toxic emissions that are directly harmful to the health of non-human species. The final unit is comparative toxic units (CTUe).  The interim factors are estimated with a higher degree of uncertainty than the recommended and should be used with caution. If interim factors are dominating the result of a Life Cycle Assessment a sensitivity analysis should be carried out.  This specific category includes only the recommend characterization factors from the USEtox methdology related to toxic emissions.  The TRACI 2.1 methdology has simply adopted the USEtox characterization factors, though a previous version to USEtox 2.0.",CTUe,ETP,"Bare, J. (2012) TRACI 2.1: the tool for the reduction and assessment of chemical and other environmental impacts 2.1",TRACI 2.1
7,Eutrophication,"Eutrophication covers all potential impacts of excessively high levels of macronutrients, the most important of which are nitrogen (N) and phosphorus (P). Nutrient enrichment may cause an undesirable shift in species composition and elevated biomass production in both aquatic and terrestrial ecosystems. In aquatic ecosystems increased biomass production may lead to depressed oxygen levels, because of the additional consumption of oxygen in biomass decomposition.",kg N equivalent,EP,"Bare, J. (2012) TRACI 2.1: the tool for the reduction and assessment of chemical and other environmental impacts 2.1",TRACI 2.1
8,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight","A measure of greenhouse gas emissions, such as CO2 and methane. These emissions are causing an increase in the absorption of radiation emitted by the earth, increasing the natural greenhouse effect. This may in turn have adverse impacts on ecosystem health, human health and material welfare.  Typically the GWP is calculated based on the energy absorption potential of a given greenhouse gas over a 100 year period, though there are other methods which look at different time periods (20 or 300 years).  This version excludes classification of greenhouse gas emissions from biogenic sources, but includes emissions associated with land use change (LUC).  The underlying climate forcing potentials are based on a 100 year period.",kg CO2 equivalent,GWP,"Bare, J. (2012) TRACI 2.1: the tool for the reduction and assessment of chemical and other environmental impacts 2.1",TRACI 2.1
9,"Global Warming Air, excl. biogenic carbon","A measure of greenhouse gas emissions, such as CO2 and methane. These emissions are causing an increase in the absorption of radiation emitted by the earth, increasing the natural greenhouse effect. This may in turn have adverse impacts on ecosystem health, human health and material welfare.  Typically the GWP is calculated based on the energy absorption potential of a given greenhouse gas over a 100 year period, though there are other methods which look at different time periods (20 or 300 years).  This version excludes classification of greenhouse gas emissions (and sequestrations) from biogenic sources.  The underlying climate forcing potentials are based on a 100 year period.",kg CO2 equivalent,GWP,"Bare, J. (2012) TRACI 2.1: the tool for the reduction and assessment of chemical and other environmental impacts 2.1",TRACI 2.1
10,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight","A measure of greenhouse gas emissions, such as CO2 and methane. These emissions are causing an increase in the absorption of radiation emitted by the earth, increasing the natural greenhouse effect. This may in turn have adverse impacts on ecosystem health, human health and material welfare.  Typically the GWP is calculated based on the energy absorption potential of a given greenhouse gas over a 100 year period, though there are other methods which look at different time periods (20 or 300 years).  This version includes classification of greenhouse gas emissions (and sequestrations) from biogenic sources, as well it includes emissions associated with land use change (LUC).  The underlying climate forcing potentials are based on a 100 year period.",kg CO2 equivalent,GWP,"Bare, J. (2012) TRACI 2.1: the tool for the reduction and assessment of chemical and other environmental impacts 2.1",TRACI 2.1
11,"Global Warming Air, incl. biogenic carbon","A measure of greenhouse gas emissions, such as CO2 and methane. These emissions are causing an increase in the absorption of radiation emitted by the earth, increasing the natural greenhouse effect. This may in turn have adverse impacts on ecosystem health, human health and material welfare.  Typically the GWP is calculated based on the energy absorption potential of a given greenhouse gas over a 100 year period, though there are other methods which look at different time periods (20 or 300 years).  This version includes classification of greenhouse gas emissions (and sequestrations) from biogenic sources.  The underlying climate forcing potentials are based on a 100 year period.",kg CO2 equivalent,GWP,"Bare, J. (2012) TRACI 2.1: the tool for the reduction and assessment of chemical and other environmental impacts 2.1",TRACI 2.1
12,"Global Warming Air, LUC only, no norm/weight","A measure of greenhouse gas emissions, such as CO2 and methane. These emissions are causing an increase in the absorption of radiation emitted by the earth, increasing the natural greenhouse effect. This may in turn have adverse impacts on ecosystem health, human health and material welfare.  Typically the GWP is calculated based on the energy absorption potential of a given greenhouse gas over a 100 year period, though there are other methods which look at different time periods (20 or 300 years).  This version only includes classification of greenhouse gas emissions due to land use change (LUC). The underlying climate forcing potentials are based on a 100 year period.",kg CO2 equivalent,GWP,"Bare, J. (2012) TRACI 2.1: the tool for the reduction and assessment of chemical and other environmental impacts 2.1",TRACI 2.1
13,high characterization factor for unspecified water,"The WSI is based on the water consumption, i.e. the same calculation logic (inputs – degradative outputs) applies.  However, in these quantities the flows are also multiplied with the country specific characterization factors. For WSI, the resulting unit is water deprivation (in m³) or “RED” water (Relevant environmental depletion) and thus is a negative value.  For more clarity see ""Introduction to Water Assessment v2.2"", excerpt from 5.2 - ""The WSI and AWaRe quantities exist in three different versions, with a high, OECD+BRIC average, and low characterization factor for unspecified water. In these quantities, all characterization factors are the same, except those for the unspecified (non-regionalized) flows. As described in section 4.2, the unspecified (non-regionalized) flows are still used in many data sets. For those flows, different characterization factors are used in the different quantities. In the version “high”, the unspecified flows are characterized with a high scarcity factor - choosing this quantity assumes “unspecified water” is consumed in water stressed regions, such as the Middle East or Spain. The “OECD+BRIC average” version refers to the average water scarcity in the OECD + BRIC countries. This value was preferred over the global average (all countries) as the OECD + BRIC represent the majority of worldwide economic activity. The “low” version represents less water stressed countries, such as in North-Western Europe.""",m3 equivalent,-,"Ridoutt, B.; Pfister, S. (2010): A revised approach to water footprinting to make transparent the impacts of consumption and production on global freshwater scarcity. Global Environmental Change 20 (2010), 113–120",WSI
14,Human Health Particulate Air,"A measure of particulate matter releases into the air, these are an indicator of air quality.",kg PM2.5 equivalent,PM2.5,"Bare, J. (2012) TRACI 2.1: the tool for the reduction and assessment of chemical and other environmental impacts 2.1",TRACI 2.1
15,"Human toxicity, cancer (recommended and interim)",A measure of toxic emissions that are directly harmful to the health of humans. Human effect factors relate the quantity taken in to the potential risk of cancerous and non-cancerous effects expressing cases per kg of chemical emitted. The final unit is comparative toxic units (CTUh).  The interim factors are estimated with a higher degree of uncertainty than the recommended and should be used with caution. If interim factors are dominating the result of a Life Cycle Assessment a sensitivity analysis should be carried out.  This specific category includes both the recommend and interm characterization factors from the USEtox methdology related to carcenogenic toxic emissions.,CTUh,HTP,"Rosenbaum RK, Bachmann TK, Gold LS, Huijbregts MAJ, Jolliet O, Juraske R, Koehler A, Larsen HF, MacLeod M, Margni M, McKone TE, Payet J, Schuhmacher M, Van de Meent D and Hauschild MZ (2008), USEtox - The UNEP/SETAC-consensus model: recommended characterisation factors for human toxicity and freshwater ecotoxicity in Life Cycle Impact Assessment. International Journal of Life Cycle Assessment 13(7): 532-546. ",USEtox 2.0
16,"Human toxicity, cancer (recommended only)",A measure of toxic emissions that are directly harmful to the health of humans. Human effect factors relate the quantity taken in to the potential risk of cancerous and non-cancerous effects expressing cases per kg of chemical emitted. The final unit is comparative toxic units (CTUh).  The interim factors are estimated with a higher degree of uncertainty than the recommended and should be used with caution. If interim factors are dominating the result of a Life Cycle Assessment a sensitivity analysis should be carried out.  This specific category includes only the recommend characterization factors from the USEtox methdology related to carcenogenic toxic emissions.,CTUh,HTP,"Rosenbaum RK, Bachmann TK, Gold LS, Huijbregts MAJ, Jolliet O, Juraske R, Koehler A, Larsen HF, MacLeod M, Margni M, McKone TE, Payet J, Schuhmacher M, Van de Meent D and Hauschild MZ (2008), USEtox - The UNEP/SETAC-consensus model: recommended characterisation factors for human toxicity and freshwater ecotoxicity in Life Cycle Impact Assessment. International Journal of Life Cycle Assessment 13(7): 532-546. ",USEtox 2.0
17,"Human toxicity, cancer (recommended)","A measure of toxic emissions that are directly harmful to the health of humans. Human effect factors relate the quantity taken in to the potential risk of cancerous and non-cancerous effects expressing cases per kg of chemical emitted. The final unit is comparative toxic units (CTUh).  The interim factors are estimated with a higher degree of uncertainty than the recommended and should be used with caution. If interim factors are dominating the result of a Life Cycle Assessment a sensitivity analysis should be carried out.  This specific category includes only the recommend characterization factors from the USEtox methdology related to carcenogenic toxic emissions.  The TRACI 2.1 methdology has simply adopted the USEtox characterization factors, though a previous version to USEtox 2.0.",CTUh,HTP,"Bare, J. (2012) TRACI 2.1: the tool for the reduction and assessment of chemical and other environmental impacts 2.1",TRACI 2.1
