material,LCstage,disposition,impactCategory,impactUnits,impactFactor
Cardboard/Kraft,EOL,Combustion,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,2313.947187
Cardboard/Kraft,EOL,Combustion,Acidification,kg SO2 eq.,0.381104678
Cardboard/Kraft,EOL,Combustion,Ecotoxicity (recommended),CTUe,6.151056699
Cardboard/Kraft,EOL,Combustion,Eutrophication,kg N eq.,0.030589723
Cardboard/Kraft,EOL,Combustion,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,149.3375272
Cardboard/Kraft,EOL,Combustion,Human Health Particulate Air,kg PM2.5 eq.,0.230944121
Cardboard/Kraft,EOL,Combustion,"Human toxicity, cancer (recommended)",CTUh,1.51E-07
Cardboard/Kraft,EOL,Combustion,"Human toxicity, non-canc. (recommended)",CTUh,1.40E-05
Cardboard/Kraft,EOL,Combustion,Ozone Depletion Air,kg CFC 11 eq.,8.78E-09
Cardboard/Kraft,EOL,Combustion,"Resources, Fossil fuels",MJ surplus energy,220.3472392
Cardboard/Kraft,EOL,Combustion,Smog Air,kg O3 eq.,8.79524616
Cardboard/Kraft,EOL,Combustion,Total freshwater consumption (including rainwater),kg,3183.861069
Cardboard/Kraft,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,680.4311394
Cardboard/Kraft,EOL,Landfilling,Acidification,kg SO2 eq.,0.185538123
Cardboard/Kraft,EOL,Landfilling,Ecotoxicity (recommended),CTUe,3.494179452
Cardboard/Kraft,EOL,Landfilling,Eutrophication,kg N eq.,0.009416569
Cardboard/Kraft,EOL,Landfilling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,39.73464826
Cardboard/Kraft,EOL,Landfilling,Human Health Particulate Air,kg PM2.5 eq.,0.133330895
Cardboard/Kraft,EOL,Landfilling,"Human toxicity, cancer (recommended)",CTUh,1.73E-07
Cardboard/Kraft,EOL,Landfilling,"Human toxicity, non-canc. (recommended)",CTUh,1.97E-05
Cardboard/Kraft,EOL,Landfilling,Ozone Depletion Air,kg CFC 11 eq.,6.20E-10
Cardboard/Kraft,EOL,Landfilling,"Resources, Fossil fuels",MJ surplus energy,79.69702569
Cardboard/Kraft,EOL,Landfilling,Smog Air,kg O3 eq.,3.660878546
Cardboard/Kraft,EOL,Landfilling,Total freshwater consumption (including rainwater),kg,-176.3912247
Cardboard/Kraft,EOL,Recycling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,-30251.28191
Cardboard/Kraft,EOL,Recycling,Acidification,kg SO2 eq.,-16.06463206
Cardboard/Kraft,EOL,Recycling,Ecotoxicity (recommended),CTUe,-12.40291251
Cardboard/Kraft,EOL,Recycling,Eutrophication,kg N eq.,-0.207070163
Cardboard/Kraft,EOL,Recycling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,-2095.081959
Cardboard/Kraft,EOL,Recycling,Human Health Particulate Air,kg PM2.5 eq.,-2.794975042
Cardboard/Kraft,EOL,Recycling,"Human toxicity, cancer (recommended)",CTUh,-2.23E-05
Cardboard/Kraft,EOL,Recycling,"Human toxicity, non-canc. (recommended)",CTUh,-0.002618533
Cardboard/Kraft,EOL,Recycling,Ozone Depletion Air,kg CFC 11 eq.,2.66E-08
Cardboard/Kraft,EOL,Recycling,"Resources, Fossil fuels",MJ surplus energy,-475.2210651
Cardboard/Kraft,EOL,Recycling,Smog Air,kg O3 eq.,-114.5623099
Cardboard/Kraft,EOL,Recycling,Total freshwater consumption (including rainwater),kg,-72539.70878
Cardboard/Kraft,Production,Production,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,73366.80729
Cardboard/Kraft,Production,Production,Acidification,kg SO2 eq.,25.89418936
Cardboard/Kraft,Production,Production,Ecotoxicity (recommended),CTUe,231.1884931
Cardboard/Kraft,Production,Production,Eutrophication,kg N eq.,0.487520189
Cardboard/Kraft,Production,Production,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,4652.712986
Cardboard/Kraft,Production,Production,Human Health Particulate Air,kg PM2.5 eq.,4.095062557
Cardboard/Kraft,Production,Production,"Human toxicity, cancer (recommended)",CTUh,2.87E-05
Cardboard/Kraft,Production,Production,"Human toxicity, non-canc. (recommended)",CTUh,0.003453893
Cardboard/Kraft,Production,Production,Ozone Depletion Air,kg CFC 11 eq.,3.54E-07
Cardboard/Kraft,Production,Production,"Resources, Fossil fuels",MJ surplus energy,4435.906905
Cardboard/Kraft,Production,Production,Smog Air,kg O3 eq.,224.1269104
