"","Material","Disposition","variable","value"
"1","Cardboard/Kraft","combustion","2015 Weight",0
"2","Cardboard/Kraft","composting","2015 Weight",0
"3","Cardboard/Kraft","landfilling","2015 Weight",2200
"4","Cardboard/Kraft","recycling","2015 Weight",6600
"5","Electronics","landfilling","2015 Weight",500
"6","Electronics","recycling","2015 Weight",400
"7","Food Waste","anaerobicDigestion","2015 Weight",0
"8","Food Waste","combustion","2015 Weight",0
"9","Food Waste","composting","2015 Weight",600
"10","Food Waste","landfilling","2015 Weight",9200
"11","Glass Containers","landfilling","2015 Weight",700
"12","Glass Containers","recycling","2015 Weight",1800
"13","Glass Containers","useAsAggregate","2015 Weight",0
"14","Nonrecyclables","landfilling","2015 Weight",10400
"15","Paper Fiber","combustion","2015 Weight",0
"16","Paper Fiber","landfilling","2015 Weight",7500
"17","Paper Fiber","recycling","2015 Weight",4400
"18","Rigid Plastic Cont.","combustion","2015 Weight",0
"19","Rigid Plastic Cont.","landfilling","2015 Weight",1200
"20","Rigid Plastic Cont.","recycling","2015 Weight",500
"21","Scrap Metal - Other","landfilling","2015 Weight",2100
"22","Scrap Metal - Other","recycling","2015 Weight",3200
"23","Wood Waste","combustion","2015 Weight",400
"24","Wood Waste","composting","2015 Weight",100
"25","Wood Waste","landfilling","2015 Weight",9500
"26","Wood Waste","recycling","2015 Weight",0
"27","Yard Debris","anaerobicDigestion","2015 Weight",0
"28","Yard Debris","combustion","2015 Weight",0
"29","Yard Debris","composting","2015 Weight",13600
"30","Yard Debris","landfilling","2015 Weight",2000
"31","Cardboard/Kraft","combustion","2015 Weight",0
"32","Cardboard/Kraft","composting","2015 Weight",0
"33","Cardboard/Kraft","landfilling","2015 Weight",1200
"34","Cardboard/Kraft","recycling","2015 Weight",4100
"35","Electronics","landfilling","2015 Weight",300
"36","Electronics","recycling","2015 Weight",100
"37","Food Waste","anaerobicDigestion","2015 Weight",0
"38","Food Waste","combustion","2015 Weight",0
"39","Food Waste","composting","2015 Weight",0
"40","Food Waste","landfilling","2015 Weight",5100
"41","Glass Containers","landfilling","2015 Weight",400
"42","Glass Containers","recycling","2015 Weight",1300
"43","Glass Containers","useAsAggregate","2015 Weight",0
"44","Nonrecyclables","landfilling","2015 Weight",5700
"45","Paper Fiber","combustion","2015 Weight",0
"46","Paper Fiber","landfilling","2015 Weight",4100
"47","Paper Fiber","recycling","2015 Weight",1800
"48","Rigid Plastic Cont.","combustion","2015 Weight",0
"49","Rigid Plastic Cont.","landfilling","2015 Weight",600
"50","Rigid Plastic Cont.","recycling","2015 Weight",200
"51","Scrap Metal - Other","landfilling","2015 Weight",1100
"52","Scrap Metal - Other","recycling","2015 Weight",2900
"53","Wood Waste","combustion","2015 Weight",3900
"54","Wood Waste","composting","2015 Weight",0
"55","Wood Waste","landfilling","2015 Weight",5200
"56","Wood Waste","recycling","2015 Weight",0
"57","Yard Debris","anaerobicDigestion","2015 Weight",0
"58","Yard Debris","combustion","2015 Weight",3900
"59","Yard Debris","composting","2015 Weight",500
"60","Yard Debris","landfilling","2015 Weight",1100
"61","Cardboard/Kraft","combustion","2015 Weight",0
"62","Cardboard/Kraft","composting","2015 Weight",0
"63","Cardboard/Kraft","landfilling","2015 Weight",1600
"64","Cardboard/Kraft","recycling","2015 Weight",3800
"65","Electronics","landfilling","2015 Weight",400
"66","Electronics","recycling","2015 Weight",200
"67","Food Waste","anaerobicDigestion","2015 Weight",0
"68","Food Waste","combustion","2015 Weight",0
"69","Food Waste","composting","2015 Weight",100
"70","Food Waste","landfilling","2015 Weight",6800
"71","Glass Containers","landfilling","2015 Weight",500
"72","Glass Containers","recycling","2015 Weight",1000
"73","Glass Containers","useAsAggregate","2015 Weight",0
"74","Nonrecyclables","landfilling","2015 Weight",7700
"75","Paper Fiber","combustion","2015 Weight",0
"76","Paper Fiber","landfilling","2015 Weight",5500
"77","Paper Fiber","recycling","2015 Weight",2100
"78","Rigid Plastic Cont.","combustion","2015 Weight",0
"79","Rigid Plastic Cont.","landfilling","2015 Weight",900
"80","Rigid Plastic Cont.","recycling","2015 Weight",400
"81","Scrap Metal - Other","landfilling","2015 Weight",1500
"82","Scrap Metal - Other","recycling","2015 Weight",3900
"83","Wood Waste","combustion","2015 Weight",0
"84","Wood Waste","composting","2015 Weight",0
"85","Wood Waste","landfilling","2015 Weight",7000
"86","Wood Waste","recycling","2015 Weight",0
"87","Yard Debris","anaerobicDigestion","2015 Weight",0
"88","Yard Debris","combustion","2015 Weight",0
"89","Yard Debris","composting","2015 Weight",0
"90","Yard Debris","landfilling","2015 Weight",1400
"91","Cardboard/Kraft","combustion","2015 Weight",0
"92","Cardboard/Kraft","composting","2015 Weight",0
"93","Cardboard/Kraft","landfilling","2015 Weight",5600
"94","Cardboard/Kraft","recycling","2015 Weight",13300
"95","Electronics","landfilling","2015 Weight",1300
"96","Electronics","recycling","2015 Weight",1100
"97","Food Waste","anaerobicDigestion","2015 Weight",0
"98","Food Waste","combustion","2015 Weight",0
"99","Food Waste","composting","2015 Weight",800
"100","Food Waste","landfilling","2015 Weight",24000
"101","Glass Containers","landfilling","2015 Weight",1800
"102","Glass Containers","recycling","2015 Weight",6700
"103","Glass Containers","useAsAggregate","2015 Weight",0
"104","Nonrecyclables","landfilling","2015 Weight",27100
"105","Paper Fiber","combustion","2015 Weight",0
"106","Paper Fiber","landfilling","2015 Weight",19500
"107","Paper Fiber","recycling","2015 Weight",9400
"108","Rigid Plastic Cont.","combustion","2015 Weight",0
"109","Rigid Plastic Cont.","landfilling","2015 Weight",3000
"110","Rigid Plastic Cont.","recycling","2015 Weight",1000
"111","Scrap Metal - Other","landfilling","2015 Weight",5400
"112","Scrap Metal - Other","recycling","2015 Weight",7700
"113","Wood Waste","combustion","2015 Weight",100
"114","Wood Waste","composting","2015 Weight",3600
"115","Wood Waste","landfilling","2015 Weight",24600
"116","Wood Waste","recycling","2015 Weight",2500
"117","Yard Debris","anaerobicDigestion","2015 Weight",0
"118","Yard Debris","combustion","2015 Weight",0
"119","Yard Debris","composting","2015 Weight",26800
"120","Yard Debris","landfilling","2015 Weight",5100
"121","Cardboard/Kraft","combustion","2015 Weight",0
"122","Cardboard/Kraft","composting","2015 Weight",0
"123","Cardboard/Kraft","landfilling","2015 Weight",1700
"124","Cardboard/Kraft","recycling","2015 Weight",3900
"125","Electronics","landfilling","2015 Weight",400
"126","Electronics","recycling","2015 Weight",200
"127","Food Waste","anaerobicDigestion","2015 Weight",0
"128","Food Waste","combustion","2015 Weight",0
"129","Food Waste","composting","2015 Weight",200
"130","Food Waste","landfilling","2015 Weight",7100
"131","Glass Containers","landfilling","2015 Weight",500
"132","Glass Containers","recycling","2015 Weight",1100
"133","Glass Containers","useAsAggregate","2015 Weight",0
"134","Nonrecyclables","landfilling","2015 Weight",8000
"135","Paper Fiber","combustion","2015 Weight",0
"136","Paper Fiber","landfilling","2015 Weight",5800
"137","Paper Fiber","recycling","2015 Weight",2600
"138","Rigid Plastic Cont.","combustion","2015 Weight",0
"139","Rigid Plastic Cont.","landfilling","2015 Weight",900
"140","Rigid Plastic Cont.","recycling","2015 Weight",400
