Material,Disposition,Life Cycle Stage,Category,Units,Factor
Cardboard,Combustion,EOL,Energy demand,MJ,-4966.38280853425
Cardboard,Combustion,EOL,Excess nutrients,kg N eq.,-0.0103379866297663
Cardboard,Combustion,EOL,Global warming,kg CO2 eq.,1021.80446683208
Cardboard,Combustion,EOL,Human toxicity,CTUh,-4.81924381594721e-8
Cardboard,Combustion,EOL,Smog,kg O3 eq.,1.72945685559006
Cardboard,Combustion,EOL,Water consumption,kg,-4198.31454177876
Cardboard,Landfilling,EOL,Energy demand,MJ,111.967527705369
Cardboard,Landfilling,EOL,Excess nutrients,kg N eq.,0.487266878187543
Cardboard,Landfilling,EOL,Global warming,kg CO2 eq.,680.796230178778
Cardboard,Landfilling,EOL,Human toxicity,CTUh,2.2392176409697e-7
Cardboard,Landfilling,EOL,Smog,kg O3 eq.,8.84952183490623
Cardboard,Landfilling,EOL,Water consumption,kg,-483.932934851953
Cardboard,Recycling,EOL,Energy demand,MJ,-32002.0266434588
Cardboard,Recycling,EOL,Excess nutrients,kg N eq.,-1.35917671799348
Cardboard,Recycling,EOL,Global warming,kg CO2 eq.,765.788039670301
Cardboard,Recycling,EOL,Human toxicity,CTUh,-2.90754827360536e-6
Cardboard,Recycling,EOL,Smog,kg O3 eq.,-51.723107190539
Cardboard,Recycling,EOL,Water consumption,kg,-5324.58239389176
Cardboard,Production,Production,Energy demand,MJ,39819.3093534991
Cardboard,Production,Production,Excess nutrients,kg N eq.,1.67268698853088
Cardboard,Production,Production,Global warming,kg CO2 eq.,-642.277141071433
Cardboard,Production,Production,Human toxicity,CTUh,3.3494856975722e-6
Cardboard,Production,Production,Smog,kg O3 eq.,84.9294389459007
Cardboard,Production,Production,Water consumption,kg,9089.90842146264
Carpet,Combustion,EOL,Energy demand,MJ,-568.468154746111
Carpet,Combustion,EOL,Excess nutrients,kg N eq.,0.0241340225610846
Carpet,Combustion,EOL,Global warming,kg CO2 eq.,566.457680950522
Carpet,Combustion,EOL,Human toxicity,CTUh,1.96718857749368e-8
Carpet,Combustion,EOL,Smog,kg O3 eq.,13.076887710909
Carpet,Combustion,EOL,Water consumption,kg,-171.434535120497
Carpet,Landfilling,EOL,Energy demand,MJ,684.767446545568
Carpet,Landfilling,EOL,Excess nutrients,kg N eq.,0.00933238229015693
Carpet,Landfilling,EOL,Global warming,kg CO2 eq.,39.834797051905
Carpet,Landfilling,EOL,Human toxicity,CTUh,1.73635092966346e-7
Carpet,Landfilling,EOL,Smog,kg O3 eq.,3.66213062497338
Carpet,Landfilling,EOL,Water consumption,kg,75.5631898452793
Carpet,Recycling,EOL,Energy demand,MJ,-2216.90494134334
Carpet,Recycling,EOL,Excess nutrients,kg N eq.,-0.0687281644512978
Carpet,Recycling,EOL,Global warming,kg CO2 eq.,-148.511383902821
Carpet,Recycling,EOL,Human toxicity,CTUh,-2.06646260450099e-7
Carpet,Recycling,EOL,Smog,kg O3 eq.,-11.3761072248605
Carpet,Recycling,EOL,Water consumption,kg,-685.800458342594
Carpet,Production,Production,Energy demand,MJ,73856.258918807
Carpet,Production,Production,Excess nutrients,kg N eq.,0.500731769737275
Carpet,Production,Production,Global warming,kg CO2 eq.,4686.3989499122
Carpet,Production,Production,Human toxicity,CTUh,2.86923387067107e-5
Carpet,Production,Production,Smog,kg O3 eq.,228.532398442754
Carpet,Production,Production,Water consumption,kg,99329.5770681089
Electronics,Landfilling,EOL,Energy demand,MJ,684.767446545568
Electronics,Landfilling,EOL,Excess nutrients,kg N eq.,0.00933238229015693
Electronics,Landfilling,EOL,Global warming,kg CO2 eq.,39.834797051905
Electronics,Landfilling,EOL,Human toxicity,CTUh,1.73635092966346e-7
Electronics,Landfilling,EOL,Smog,kg O3 eq.,3.66213062497338
Electronics,Landfilling,EOL,Water consumption,kg,75.5631898452793
Electronics,Recycling,EOL,Energy demand,MJ,-2216.90494134334
Electronics,Recycling,EOL,Excess nutrients,kg N eq.,-0.0687281644512978
Electronics,Recycling,EOL,Global warming,kg CO2 eq.,-148.511383902821
Electronics,Recycling,EOL,Human toxicity,CTUh,-2.06646260450099e-7
Electronics,Recycling,EOL,Smog,kg O3 eq.,-11.3761072248605
Electronics,Recycling,EOL,Water consumption,kg,-685.800458342594
Electronics,Production,Production,Energy demand,MJ,165300.141819257
Electronics,Production,Production,Excess nutrients,kg N eq.,184.523939289117
Electronics,Production,Production,Global warming,kg CO2 eq.,10752.0959433812
Electronics,Production,Production,Human toxicity,CTUh,0.00232268651792765
Electronics,Production,Production,Smog,kg O3 eq.,754.267355545176
Electronics,Production,Production,Water consumption,kg,94454.518169172
Food,Anaerobic Digestion,EOL,Energy demand,MJ,-5603.26025360874
Food,Anaerobic Digestion,EOL,Excess nutrients,kg N eq.,0.310206847656652
Food,Anaerobic Digestion,EOL,Global warming,kg CO2 eq.,146.709117043929
