"material","disposition","LCstage","impactCategory","impactUnits","impactFactor","impliedMiles"
"Cardboard/Kraft","combustion","endOfLife","Energy demand","MJ",-544.621811110032,NA
"Cardboard/Kraft","combustion","endOfLife","Eutrophication","kg N eq.",0.0237418734040536,NA
"Cardboard/Kraft","combustion","endOfLife","Global warming","kg CO2 eq.",566.013742841146,NA
"Cardboard/Kraft","combustion","endOfLife","Human toxicity","CTUh",2.85951683709566e-08,NA
"Cardboard/Kraft","combustion","endOfLife","Smog","kg O3 eq.",12.8337980681661,NA
"Cardboard/Kraft","combustion","endOfLife","Water consumption","kg",-501.034825769893,NA
"Cardboard/Kraft","landfilling","endOfLife","Energy demand","MJ",358.146600062534,NA
"Cardboard/Kraft","landfilling","endOfLife","Eutrophication","kg N eq.",1.5836943952776,NA
"Cardboard/Kraft","landfilling","endOfLife","Global warming","kg CO2 eq.",426.558768844724,NA
"Cardboard/Kraft","landfilling","endOfLife","Human toxicity","CTUh",2.045595647272e-07,NA
"Cardboard/Kraft","landfilling","endOfLife","Smog","kg O3 eq.",6.78397738421397,NA
"Cardboard/Kraft","landfilling","endOfLife","Water consumption","kg",-315.304259435827,NA
"Cardboard/Kraft","recycling","endOfLife","Energy demand","MJ",-2087.58716894793,NA
"Cardboard/Kraft","recycling","endOfLife","Eutrophication","kg N eq.",-0.0708213799926024,NA
"Cardboard/Kraft","recycling","endOfLife","Global warming","kg CO2 eq.",-150.166042785371,NA
"Cardboard/Kraft","recycling","endOfLife","Human toxicity","CTUh",-2.08992223031169e-07,NA
"Cardboard/Kraft","recycling","endOfLife","Smog","kg O3 eq.",-11.4387385860775,NA
"Cardboard/Kraft","recycling","endOfLife","Water consumption","kg",-694.657358965385,NA
"Cardboard/Kraft","combustion","endOfLifeTransport","Energy demand","MJ",1.8464705568407,180
"Cardboard/Kraft","combustion","endOfLifeTransport","Eutrophication","kg N eq.",4.33817628990274e-05,180
"Cardboard/Kraft","combustion","endOfLifeTransport","Global warming","kg CO2 eq.",0.127705403332056,180
"Cardboard/Kraft","combustion","endOfLifeTransport","Human toxicity","CTUh",6.75005513471328e-11,180
"Cardboard/Kraft","combustion","endOfLifeTransport","Smog","kg O3 eq.",0.0165991888681978,180
"Cardboard/Kraft","combustion","endOfLifeTransport","Water consumption","kg",0.217399569849707,180
"Cardboard/Kraft","landfilling","endOfLifeTransport","Energy demand","MJ",1.8464705568407,180
"Cardboard/Kraft","landfilling","endOfLifeTransport","Eutrophication","kg N eq.",4.33817628990274e-05,180
"Cardboard/Kraft","landfilling","endOfLifeTransport","Global warming","kg CO2 eq.",0.127705403332056,180
"Cardboard/Kraft","landfilling","endOfLifeTransport","Human toxicity","CTUh",6.75005513471328e-11,180
"Cardboard/Kraft","landfilling","endOfLifeTransport","Smog","kg O3 eq.",0.0165991888681978,180
"Cardboard/Kraft","landfilling","endOfLifeTransport","Water consumption","kg",0.217399569849707,180
"Cardboard/Kraft","recycling","endOfLifeTransport","Energy demand","MJ",2.90042600248944,180
"Cardboard/Kraft","recycling","endOfLifeTransport","Eutrophication","kg N eq.",7.63501046471128e-05,180
"Cardboard/Kraft","recycling","endOfLifeTransport","Global warming","kg CO2 eq.",0.200513188271367,180
"Cardboard/Kraft","recycling","endOfLifeTransport","Human toxicity","CTUh",1.06005249883158e-10,180
"Cardboard/Kraft","recycling","endOfLifeTransport","Smog","kg O3 eq.",0.0307527460080563,180
"Cardboard/Kraft","recycling","endOfLifeTransport","Water consumption","kg",0.340563929946618,180
"Cardboard/Kraft","production","production","Energy demand","MJ",37482.194939694,NA
"Cardboard/Kraft","production","production","Eutrophication","kg N eq.",16.376480739538,NA
"Cardboard/Kraft","production","production","Global warming","kg CO2 eq.",278.588029764997,NA
"Cardboard/Kraft","production","production","Human toxicity","CTUh",5.903503467807e-05,NA
"Cardboard/Kraft","production","production","Smog","kg O3 eq.",85.9010389778924,NA
"Cardboard/Kraft","production","production","Water consumption","kg",131944.292154649,NA
"Carpeting-used","combustion","endOfLife","Energy demand","MJ",-544.621811110032,NA
"Carpeting-used","combustion","endOfLife","Eutrophication","kg N eq.",0.0237418734040536,NA
"Carpeting-used","combustion","endOfLife","Global warming","kg CO2 eq.",566.013742841146,NA
"Carpeting-used","combustion","endOfLife","Human toxicity","CTUh",2.85951683709566e-08,NA
"Carpeting-used","combustion","endOfLife","Smog","kg O3 eq.",12.8337980681661,NA
"Carpeting-used","combustion","endOfLife","Water consumption","kg",-501.034825769893,NA
"Carpeting-used","landfilling","endOfLife","Energy demand","MJ",680.431139444944,NA
"Carpeting-used","landfilling","endOfLife","Eutrophication","kg N eq.",0.00941656922528107,NA
"Carpeting-used","landfilling","endOfLife","Global warming","kg CO2 eq.",39.7640939025638,NA
"Carpeting-used","landfilling","endOfLife","Human toxicity","CTUh",1.73132950465102e-07,NA
"Carpeting-used","landfilling","endOfLife","Smog","kg O3 eq.",3.66087854611398,NA
"Carpeting-used","landfilling","endOfLife","Water consumption","kg",78.6232995578284,NA
"Carpeting-used","recycling","endOfLife","Energy demand","MJ",-2087.58716894793,NA
"Carpeting-used","recycling","endOfLife","Eutrophication","kg N eq.",-0.0708213799926024,NA
"Carpeting-used","recycling","endOfLife","Global warming","kg CO2 eq.",-150.166042785371,NA
"Carpeting-used","recycling","endOfLife","Human toxicity","CTUh",-2.08992223031169e-07,NA
"Carpeting-used","recycling","endOfLife","Smog","kg O3 eq.",-11.4387385860775,NA
"Carpeting-used","recycling","endOfLife","Water consumption","kg",-694.657358965385,NA
"Carpeting-used","combustion","endOfLifeTransport","Energy demand","MJ",1.8464705568407,180
"Carpeting-used","combustion","endOfLifeTransport","Eutrophication","kg N eq.",4.33817628990274e-05,180
"Carpeting-used","combustion","endOfLifeTransport","Global warming","kg CO2 eq.",0.127705403332056,180
