Wasteshed,Material,Disposition,Life Cycle Stage,Umbrella Disposition,2015 Weight
Baker,Cardboard/Kraft,combustion,EOL,Recovery,0
Baker,Cardboard/Kraft,landfilling,EOL,Disposal,400
Baker,Cardboard/Kraft,recycling,EOL,Recovery,900
Baker,Carpeting-used,combustion,EOL,Recovery,0
Baker,Carpeting-used,landfilling,EOL,Disposal,300
Baker,Carpeting-used,recycling,EOL,Recovery,0
Baker,Electronics,landfilling,EOL,Disposal,100
Baker,Electronics,recycling,EOL,Recovery,100
Baker,Food Waste,anaerobicDigestion,EOL,Recovery,0
Baker,Food Waste,composting,EOL,Recovery,0
Baker,Food Waste,landfilling,EOL,Disposal,1900
Baker,Glass Containers,landfilling,EOL,Disposal,100
Baker,Glass Containers,recycling,EOL,Recovery,300
Baker,Glass Containers,useAsAggregate,EOL,Recovery,0
Baker,Nonrecyclables,combustion,EOL,Recovery,0
Baker,Nonrecyclables,landfilling,EOL,Disposal,2100
Baker,Paper Fiber,combustion,EOL,Recovery,0
Baker,Paper Fiber,landfilling,EOL,Disposal,1500
Baker,Paper Fiber,recycling,EOL,Recovery,300
Baker,Plastic Film,combustion,EOL,Recovery,0
Baker,Plastic Film,landfilling,EOL,Disposal,700
Baker,Plastic Film,recycling,EOL,Recovery,0
Baker,Rigid Plastic Cont.,combustion,EOL,Recovery,0
Baker,Rigid Plastic Cont.,landfilling,EOL,Disposal,200
Baker,Rigid Plastic Cont.,recycling,EOL,Recovery,100
Baker,Scrap Metal - Other,landfilling,EOL,Disposal,400
Baker,Scrap Metal - Other,recycling,EOL,Recovery,200
Baker,Wood Waste,combustion,EOL,Recovery,0
Baker,Wood Waste,composting,EOL,Recovery,0
Baker,Wood Waste,landfilling,EOL,Disposal,1900
Baker,Wood Waste,recycling,EOL,Recovery,0
Baker,Yard Debris,anaerobicDigestion,EOL,Recovery,0
Baker,Yard Debris,combustion,EOL,Recovery,0
Baker,Yard Debris,composting,EOL,Recovery,800
Baker,Yard Debris,landfilling,EOL,Disposal,400
Benton,Cardboard/Kraft,combustion,EOL,Recovery,0
Benton,Cardboard/Kraft,landfilling,EOL,Disposal,2200
Benton,Cardboard/Kraft,recycling,EOL,Recovery,6600
Benton,Carpeting-used,combustion,EOL,Recovery,0
Benton,Carpeting-used,landfilling,EOL,Disposal,1500
Benton,Carpeting-used,recycling,EOL,Recovery,0
Benton,Electronics,landfilling,EOL,Disposal,500
Benton,Electronics,recycling,EOL,Recovery,400
Benton,Food Waste,anaerobicDigestion,EOL,Recovery,0
Benton,Food Waste,composting,EOL,Recovery,600
Benton,Food Waste,landfilling,EOL,Disposal,9200
Benton,Glass Containers,landfilling,EOL,Disposal,700
Benton,Glass Containers,recycling,EOL,Recovery,1800
Benton,Glass Containers,useAsAggregate,EOL,Recovery,0
Benton,Nonrecyclables,combustion,EOL,Recovery,0
Benton,Nonrecyclables,landfilling,EOL,Disposal,10400
Benton,Paper Fiber,combustion,EOL,Recovery,0
Benton,Paper Fiber,landfilling,EOL,Disposal,7500
Benton,Paper Fiber,recycling,EOL,Recovery,4400
Benton,Plastic Film,combustion,EOL,Recovery,0
Benton,Plastic Film,landfilling,EOL,Disposal,3300
Benton,Plastic Film,recycling,EOL,Recovery,300
Benton,Rigid Plastic Cont.,combustion,EOL,Recovery,0
Benton,Rigid Plastic Cont.,landfilling,EOL,Disposal,1200
Benton,Rigid Plastic Cont.,recycling,EOL,Recovery,500
Benton,Scrap Metal - Other,landfilling,EOL,Disposal,2100
Benton,Scrap Metal - Other,recycling,EOL,Recovery,3200
Benton,Wood Waste,combustion,EOL,Recovery,400
Benton,Wood Waste,composting,EOL,Recovery,100
Benton,Wood Waste,landfilling,EOL,Disposal,9500
Benton,Wood Waste,recycling,EOL,Recovery,0
Benton,Yard Debris,anaerobicDigestion,EOL,Recovery,0
Benton,Yard Debris,combustion,EOL,Recovery,0
Benton,Yard Debris,composting,EOL,Recovery,13600
Benton,Yard Debris,landfilling,EOL,Disposal,2000
Clatsop,Cardboard/Kraft,combustion,EOL,Recovery,0
Clatsop,Cardboard/Kraft,landfilling,EOL,Disposal,1200
Clatsop,Cardboard/Kraft,recycling,EOL,Recovery,4100
Clatsop,Carpeting-used,combustion,EOL,Recovery,0
