material,LCstage,disposition,impactCategory,impactUnits,impactFactor,corporateSource,impactFactorID
Aluminum,endOfLife,incinerationNoER,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,2482.589408,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,2313.947187,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,Primary energy from non renewable resources (gross cal. value),MJ,2109.671999,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,Primary energy from non renewable resources (net cal. value),MJ,1941.029779,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,Primary energy from renewable resources (gross cal. value),MJ,372.9174089,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,Primary energy from renewable resources (net cal. value),MJ,372.9174089,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,138.5456994,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,149.438748,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0.101220807,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,Acidification,kg SO2 eq.,0.381104678,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,Ecotoxicity (recommended),CTUe,6.151056699,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,Eutrophication,kg N eq.,0.030589723,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,138.4444786,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,149.3375272,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,Human Health Particulate Air,kg PM2.5 eq.,0.230944121,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,"Human toxicity, cancer (recommended)",CTUh,1.51E-07,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,"Human toxicity, non-canc. (recommended)",CTUh,1.40E-05,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,Ozone Depletion Air,kg CFC 11 eq.,8.78E-09,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,"Resources, Fossil fuels",MJ surplus energy,220.3472392,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,Smog Air,kg O3 eq.,8.79524616,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,Ecotoxicity (recommended and interim),CTUe,3900.807905,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,Ecotoxicity (recommended only),CTUe,0.383277102,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,"Human toxicity, cancer (recommended and interim)",CTUh,1.45E-05,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,"Human toxicity, cancer (recommended only)",CTUh,5.58E-09,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,"Human toxicity, non-canc. (recommended and interim)",CTUh,2.12E-05,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,"Human toxicity, non-canc. (recommended only)",CTUh,1.97E-10,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,high characterization factor for unspecified water,m3 world equiv.,130.8253678,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,low characterization factor for unspecified water,m3 world equiv.,48.05821511,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER,OECD+BRIC average for unspecified water,m3 world equiv.,96.92172879,AWARE,IMFO - Phase III_2018-02-16 09:16:41
