material,LCstage,disposition,impactCategory,impactUnits,impactFactor
Cardboard/Kraft,EOL,Combustion,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,2482.589408
Cardboard/Kraft,EOL,Combustion,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,2313.947187
Cardboard/Kraft,EOL,Combustion,Primary energy from non renewable resources (gross cal. value),MJ,2109.671999
Cardboard/Kraft,EOL,Combustion,Primary energy from non renewable resources (net cal. value),MJ,1941.029779
Cardboard/Kraft,EOL,Combustion,Primary energy from renewable resources (gross cal. value),MJ,372.9174089
Cardboard/Kraft,EOL,Combustion,Primary energy from renewable resources (net cal. value),MJ,372.9174089
Cardboard/Kraft,EOL,Combustion,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,138.5456994
Cardboard/Kraft,EOL,Combustion,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,149.438748
Cardboard/Kraft,EOL,Combustion,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0.101220807
Cardboard/Kraft,EOL,Combustion,Acidification,kg SO2 eq.,0.381104678
Cardboard/Kraft,EOL,Combustion,Ecotoxicity (recommended),CTUe,6.151056699
Cardboard/Kraft,EOL,Combustion,Eutrophication,kg N eq.,0.030589723
Cardboard/Kraft,EOL,Combustion,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,138.4444786
Cardboard/Kraft,EOL,Combustion,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,149.3375272
Cardboard/Kraft,EOL,Combustion,Human Health Particulate Air,kg PM2.5 eq.,0.230944121
Cardboard/Kraft,EOL,Combustion,"Human toxicity, cancer (recommended)",CTUh,1.51E-07
Cardboard/Kraft,EOL,Combustion,"Human toxicity, non-canc. (recommended)",CTUh,1.40E-05
Cardboard/Kraft,EOL,Combustion,Ozone Depletion Air,kg CFC 11 eq.,8.78E-09
Cardboard/Kraft,EOL,Combustion,"Resources, Fossil fuels",MJ surplus energy,220.3472392
Cardboard/Kraft,EOL,Combustion,Smog Air,kg O3 eq.,8.79524616
Cardboard/Kraft,EOL,Combustion,Ecotoxicity (recommended and interim),CTUe,3900.807905
Cardboard/Kraft,EOL,Combustion,Ecotoxicity (recommended only),CTUe,0.383277102
Cardboard/Kraft,EOL,Combustion,"Human toxicity, cancer (recommended and interim)",CTUh,1.45E-05
Cardboard/Kraft,EOL,Combustion,"Human toxicity, cancer (recommended only)",CTUh,5.58E-09
Cardboard/Kraft,EOL,Combustion,"Human toxicity, non-canc. (recommended and interim)",CTUh,2.12E-05
Cardboard/Kraft,EOL,Combustion,"Human toxicity, non-canc. (recommended only)",CTUh,1.97E-10
Cardboard/Kraft,EOL,Combustion,high characterization factor for unspecified water,m3 world equiv.,130.8253678
Cardboard/Kraft,EOL,Combustion,low characterization factor for unspecified water,m3 world equiv.,48.05821511
Cardboard/Kraft,EOL,Combustion,OECD+BRIC average for unspecified water,m3 world equiv.,96.92172879
Cardboard/Kraft,EOL,Combustion,Blue water consumption,kg,2872.749987
Cardboard/Kraft,EOL,Combustion,Blue water use,kg,281197.0186
Cardboard/Kraft,EOL,Combustion,Total freshwater consumption (including rainwater),kg,3183.861069
Cardboard/Kraft,EOL,Combustion,Total freshwater use,kg,282089.3899
Cardboard/Kraft,EOL,Combustion,high characterization factor for unspecified water,m3 equiv.,1.872514929
Cardboard/Kraft,EOL,Combustion,low characterization factor for unspecified water,m3 equiv.,0.822449964
Cardboard/Kraft,EOL,Combustion,OECD+BRIC average for unspecified water,m3 equiv.,1.183861324
Cardboard/Kraft,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,732.2974495
Cardboard/Kraft,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,680.4311394
Cardboard/Kraft,EOL,Landfilling,Primary energy from non renewable resources (gross cal. value),MJ,688.6626402
Cardboard/Kraft,EOL,Landfilling,Primary energy from non renewable resources (net cal. value),MJ,636.7963302
Cardboard/Kraft,EOL,Landfilling,Primary energy from renewable resources (gross cal. value),MJ,43.63480929
Cardboard/Kraft,EOL,Landfilling,Primary energy from renewable resources (net cal. value),MJ,43.63480929
Cardboard/Kraft,EOL,Landfilling,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,40.52220872
Cardboard/Kraft,EOL,Landfilling,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,39.7640939
Cardboard/Kraft,EOL,Landfilling,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0.029445647
Cardboard/Kraft,EOL,Landfilling,Acidification,kg SO2 eq.,0.185538123
Cardboard/Kraft,EOL,Landfilling,Ecotoxicity (recommended),CTUe,3.494179452
Cardboard/Kraft,EOL,Landfilling,Eutrophication,kg N eq.,0.009416569
Cardboard/Kraft,EOL,Landfilling,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,40.49276307
Cardboard/Kraft,EOL,Landfilling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,39.73464826
Cardboard/Kraft,EOL,Landfilling,Human Health Particulate Air,kg PM2.5 eq.,0.133330895
Cardboard/Kraft,EOL,Landfilling,"Human toxicity, cancer (recommended)",CTUh,1.73E-07
Cardboard/Kraft,EOL,Landfilling,"Human toxicity, non-canc. (recommended)",CTUh,1.97E-05
Cardboard/Kraft,EOL,Landfilling,Ozone Depletion Air,kg CFC 11 eq.,6.20E-10
Cardboard/Kraft,EOL,Landfilling,"Resources, Fossil fuels",MJ surplus energy,79.69702569
Cardboard/Kraft,EOL,Landfilling,Smog Air,kg O3 eq.,3.660878546
Cardboard/Kraft,EOL,Landfilling,Ecotoxicity (recommended and interim),CTUe,1034.942389
Cardboard/Kraft,EOL,Landfilling,Ecotoxicity (recommended only),CTUe,0.170312366
Cardboard/Kraft,EOL,Landfilling,"Human toxicity, cancer (recommended and interim)",CTUh,2.14E-06
Cardboard/Kraft,EOL,Landfilling,"Human toxicity, cancer (recommended only)",CTUh,7.25E-10
Cardboard/Kraft,EOL,Landfilling,"Human toxicity, non-canc. (recommended and interim)",CTUh,2.97E-05
Cardboard/Kraft,EOL,Landfilling,"Human toxicity, non-canc. (recommended only)",CTUh,5.28E-11
Cardboard/Kraft,EOL,Landfilling,high characterization factor for unspecified water,m3 world equiv.,2.778447062
Cardboard/Kraft,EOL,Landfilling,low characterization factor for unspecified water,m3 world equiv.,1.113406877
Cardboard/Kraft,EOL,Landfilling,OECD+BRIC average for unspecified water,m3 world equiv.,2.096402068
Cardboard/Kraft,EOL,Landfilling,Blue water consumption,kg,78.62329956
Cardboard/Kraft,EOL,Landfilling,Blue water use,kg,18626.95116
Cardboard/Kraft,EOL,Landfilling,Total freshwater consumption (including rainwater),kg,-176.3912247
Cardboard/Kraft,EOL,Landfilling,Total freshwater use,kg,20430.23678
Cardboard/Kraft,EOL,Landfilling,high characterization factor for unspecified water,m3 equiv.,0.04132702
Cardboard/Kraft,EOL,Landfilling,low characterization factor for unspecified water,m3 equiv.,0.020202693
Cardboard/Kraft,EOL,Landfilling,OECD+BRIC average for unspecified water,m3 equiv.,0.027473264
Cardboard/Kraft,EOL,Recycling,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,-31942.66791
Cardboard/Kraft,EOL,Recycling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,-30251.28191
Cardboard/Kraft,EOL,Recycling,Primary energy from non renewable resources (gross cal. value),MJ,-16653.12312
Cardboard/Kraft,EOL,Recycling,Primary energy from non renewable resources (net cal. value),MJ,-14961.73713
Cardboard/Kraft,EOL,Recycling,Primary energy from renewable resources (gross cal. value),MJ,-15289.54479
